iter	Passed	Remaining
377	544	896
378	546	894
379	547	893
380	548	891
381	549	889
382	551	888
383	552	887
384	554	885
385	555	883
386	556	881
387	557	879
388	559	878
389	560	876
390	561	874
391	562	872
392	564	871
393	565	870
394	567	868
395	568	866
396	569	865
397	571	864
398	573	863
399	574	861
400	575	859
401	577	858
402	578	856
403	579	855
404	580	853
405	582	851
406	583	850
407	584	848
408	585	846
409	587	845
410	588	843
411	590	842
412	591	841
413	593	839
414	594	837
415	595	835
416	596	834
417	598	832
418	599	831
419	600	829
420	602	828
421	603	827
422	605	825
423	606	823
424	607	822
425	608	820
426	610	818
427	611	817
428	612	815
429	613	813
430	614	811
431	615	809
432	617	808
433	618	806
434	620	805
435	621	803
436	622	802
437	624	800
438	625	799
439	626	797
440	628	796
441	629	794
442	630	793
443	632	791
444	633	790
445	634	788
446	636	787
447	637	785
448	638	784
449	640	782
450	641	781
451	642	779
452	644	777
453	645	776
454	646	774
455	648	773
456	649	771
457	650	770
458	651	768
459	653	766
460	654	765
461	655	763
462	657	762
463	658	760
464	659	759
465	660	757
466	662	755
467	663	754
468	664	752
469	666	751
470	667	749
471	668	748
472	670	746
473	671	745
474	672	743
475	674	741
476	675	740
477	676	739
478	678	737
479	679	736
480	680	734
481	682	733
482	683	731
483	684	730
484	686	728
485	687	726
486	688	725
487	690	724
488	691	722
489	692	720
490	693	719
491	695	717
492	696	716
493	697	714
494	699	713
495	700	712
496	702	710
497	703	709
498	705	707
499	706	706
500	707	704
501	708	703
502	710	701
503	711	700
504	713	699
505	714	697
506	716	696
507	717	694
508	718	693
509	719	691
510	721	690
511	722	688
512	723	687
513	725	685
514	726	683
515	727	682
516	729	681
517	730	679
518	731	678
519	733	676
520	734	675
521	735	673
522	737	672
523	738	670
524	739	669
525	740	667
526	742	666
527	743	664
528	745	663
529	746	661
530	747	660
531	748	658
532	750	657
533	751	655
534	752	654
535	754	652
536	755	651
537	756	649
538	758	648
539	759	646
540	760	645
541	761	643
542	763	642
543	764	640
544	766	639
545	767	638
546	769	636
547	770	635
548	771	633
549	773	632
550	774	631
551	776	630
552	778	629
553	780	628
554	781	626
555	782	625
556	784	623
557	785	622
558	786	620
559	788	619
560	789	617
561	790	616
562	791	614
563	793	613
564	794	611
565	795	610
566	796	608
567	798	607
568	799	605
569	800	604
570	802	602
571	803	601
572	804	599
573	806	598
574	807	596
575	808	595
576	810	593
577	811	592
578	812	590
579	813	589
580	815	587
581	816	586
582	817	584
583	818	583
584	820	581
585	821	580
586	823	579
587	824	577
588	825	576
589	826	574
590	828	573
591	829	571
592	830	570
593	831	568
594	833	567
595	834	565
596	836	564
597	837	562
598	838	561
599	839	559
600	840	558
601	842	556
602	843	555
603	844	553
604	846	552
605	847	550
606	848	549
607	850	548
608	851	546
609	852	545
610	853	543
611	855	542
612	856	540
613	857	539
614	859	537
615	860	536
616	862	535
617	863	533
618	864	532
619	866	530
620	867	529
621	868	527
622	869	526
623	871	524
624	872	523
625	873	521
626	874	520
627	875	518
628	877	517
629	878	515
630	879	514
631	880	512
632	882	511
633	883	509
634	884	508
635	885	506
636	886	505
637	888	503
638	889	502
639	891	501
640	892	499
641	893	498
642	894	496
643	896	495
644	897	494
645	898	492
646	900	491
647	901	489
648	902	488
649	903	486
650	905	485
651	906	483
652	907	482
653	908	480
654	910	479
655	911	477
656	912	476
657	913	474
658	915	473
659	916	472
660	917	470
661	918	468
662	919	467
663	920	466
664	922	464
665	923	463
666	924	461
667	925	460
668	927	458
669	928	457
670	929	455
671	930	454
672	932	452
673	933	451
674	934	449
675	935	448
676	937	447
677	938	445
678	939	444
679	940	442
680	942	441
681	943	439
682	944	438
683	945	436
684	946	435
685	948	434
686	949	432
687	950	431
688	951	429
689	953	428
690	954	426
691	955	425
692	956	423
693	957	422
694	959	420
695	960	419
696	961	417
697	962	416
698	963	415
699	965	413
700	966	412
701	967	410
702	968	409
703	970	407
704	971	406
705	972	404
706	973	403
707	974	402
708	975	400
709	977	399
710	978	397
711	979	396
712	980	394
713	981	393
714	983	391
715	984	390
716	985	388
717	986	387
718	987	386
719	989	384
720	990	383
721	991	381
722	992	380
723	993	378
724	995	377
725	996	376
726	997	374
727	998	373
728	999	371
729	1001	370
730	1002	368
731	1003	367
732	1004	365
733	1005	364
734	1006	363
735	1008	361
736	1009	360
737	1010	358
738	1011	357
739	1013	355
740	1014	354
741	1015	353
742	1016	351
743	1017	350
744	1018	348
745	1020	347
746	1021	345
747	1022	344
748	1023	343
749	1024	341
750	1026	340
751	1027	338
752	1028	337
753	1029	335
754	1030	334
755	1031	333
756	1033	331
757	1034	330
758	1035	328
759	1037	327
760	1038	326
761	1039	324
762	1040	323
763	1041	321
764	1043	320
765	1044	318
766	1045	317
767	1046	316
768	1048	314
769	1049	313
770	1050	311
771	1051	310
772	1052	309
773	1053	307
774	1055	306
775	1056	304
776	1057	303
777	1058	302
778	1060	300
779	1061	299
780	1062	297
781	1063	296
782	1064	295
783	1066	293
784	1067	292
785	1068	290
786	1069	289
787	1071	288
788	1072	286
789	1073	285
790	1074	284
791	1076	282
792	1077	281
793	1078	279
794	1080	278
795	1081	277
796	1082	275
797	1083	274
798	1085	272
799	1086	271
800	1087	270
801	1089	268
802	1090	267
803	1092	266
804	1093	264
805	1094	263
806	1096	262
807	1097	260
808	1098	259
809	1100	258
810	1101	256
811	1102	255
812	1103	253
813	1105	252
814	1106	251
815	1107	249
816	1109	248
817	1110	247
818	1111	245
819	1113	244
820	1114	243
821	1116	241
822	1117	240
823	1118	238
824	1120	237
825	1121	236
826	1122	234
827	1124	233
828	1125	232
829	1126	230
830	1127	229
831	1129	227
832	1130	226
833	1131	225
834	1133	223
835	1134	222
836	1135	221
837	1136	219
838	1138	218
839	1139	217
840	1140	215
841	1141	214
842	1143	212
843	1144	211
844	1145	210
845	1146	208
846	1148	207
847	1149	206
848	1150	204
849	1152	203
850	1153	201
851	1154	200
852	1156	199
853	1157	197
854	1158	196
855	1159	195
856	1160	193
857	1162	192
858	1163	190
859	1164	189
860	1165	188
861	1167	186
862	1168	185
863	1169	184
864	1170	182
865	1172	181
866	1173	179
867	1174	178
868	1175	177
869	1177	175
870	1178	174
871	1179	173
872	1180	171
873	1182	170
874	1183	169
875	1184	167
876	1185	166
877	1187	164
878	1188	163
879	1189	162
880	1190	160
881	1191	159
882	1193	158
883	1194	156
884	1195	155
885	1197	154
886	1198	152
887	1199	151
888	1200	149
889	1201	148
890	1203	147
891	1204	145
892	1205	144
893	1207	143
894	1208	141
895	1209	140
896	1210	139
897	1212	137
898	1213	136
899	1214	134
900	1215	133
901	1217	132
902	1218	130
903	1219	129
904	1220	128
905	1221	126
906	1223	125
907	1224	124
908	1225	122
909	1227	121
910	1228	119
911	1229	118
912	1230	117
913	1232	115
914	1233	114
915	1234	113
916	1236	111
917	1237	110
918	1238	109
919	1239	107
920	1240	106
921	1242	105
922	1243	103
923	1244	102
924	1245	100
925	1246	99
926	1247	98
927	1249	96
928	1250	95
929	1251	94
930	1252	92
931	1253	91
932	1254	90
933	1256	88
934	1257	87
935	1258	86
936	1259	84
937	1261	83
938	1262	82
939	1263	80
940	1264	79
941	1265	77
942	1267	76
943	1268	75
944	1269	73
945	1270	72
946	1272	71
947	1273	69
948	1274	68
949	1276	67
950	1277	65
951	1279	64
952	1280	63
953	1281	61
954	1282	60
955	1283	59
956	1285	57
957	1286	56
958	1288	55
959	1289	53
960	1290	52
961	1291	51
962	1292	49
963	1294	48
964	1295	46
965	1296	45
966	1297	44
967	1298	42
968	1300	41
969	1301	40
970	1302	38
971	1304	37
972	1305	36
973	1306	34
974	1308	33
975	1309	32
976	1310	30
977	1311	29
978	1313	28
979	1314	26
980	1315	25
981	1316	24
982	1317	22
983	1319	21
984	1320	20
985	1321	18
986	1322	17
987	1324	16
988	1325	14
989	1326	13
990	1328	12
991	1329	10
992	1330	9
993	1332	8
994	1333	6
995	1334	5
996	1335	4
997	1337	2
998	1338	1
999	1339	0
